Time [s],Voltage [V],Current [A],Cell Temperature [K],Separator Temperature [K]
493.0,4.037037992545324,2.0,298.15,298.15
494.0,4.037023095571623,2.0,298.15,298.15
495.0,4.037008201202657,2.0,298.15,298.15
496.0,4.03699330831951,2.0,298.15,298.15
497.0,4.036978415808755,2.0,298.15,298.15
498.0,4.036963522562411,2.0,298.15,298.15
499.0,4.036948627477888,2.0,298.15,298.15
500.0,4.036933729459157,2.0,298.15,298.15
501.0,4.036918827413169,2.0,298.15,298.15
502.0,4.036903920253497,2.0,298.15,298.15
503.0,4.036889006898957,2.0,298.15,298.15
504.0,4.036874086273797,2.0,298.15,298.15
505.0,4.036859157307497,2.0,298.15,298.15
506.0,4.036844218934863,2.0,298.15,298.15
507.0,4.036829270096007,2.0,298.15,298.15
508.0,4.03681430973627,2.0,298.15,298.15
509.0,4.036799336806232,2.0,298.15,298.15
510.0,4.036784350261745,2.0,298.15,298.15
511.0,4.036769349063839,2.0,298.15,298.15
512.0,4.036754332178786,2.0,298.15,298.15
513.0,4.036739298578025,2.0,298.15,298.15
514.0,4.03672424723817,2.0,298.15,298.15
515.0,4.036709177140975,2.0,298.15,298.15
516.0,4.036694087273371,2.0,298.15,298.15
517.0,4.036678976627393,2.0,298.15,298.15
518.0,4.036663844200196,2.0,298.15,298.15
519.0,4.036648688994043,2.0,298.15,298.15
520.0,4.03663351001625,2.0,298.15,298.15
521.0,4.036618306279247,2.0,298.15,298.15
522.0,4.0366030768004695,2.0,298.15,298.15
523.0,4.03658782060243,2.0,298.15,298.15
524.0,4.036572536712649,2.0,298.15,298.15
525.0,4.0365572241636904,2.0,298.15,298.15
526.0,4.036541881993061,2.0,298.15,298.15
527.0,4.036526509243286,2.0,298.15,298.15
528.0,4.036511104961866,2.0,298.15,298.15
529.0,4.036495668201222,2.0,298.15,298.15
530.0,4.036480198018763,2.0,298.15,298.15
531.0,4.036464693476798,2.0,298.15,298.15
532.0,4.036449153642533,2.0,298.15,298.15
533.0,4.036433577588115,2.0,298.15,298.15
534.0,4.036417964390545,2.0,298.15,298.15
535.0,4.036402313131698,2.0,298.15,298.15
536.0,4.036386622898325,2.0,298.15,298.15
537.0,4.036370892782051,2.0,298.15,298.15
538.0,4.036355121879234,2.0,298.15,298.15
539.0,4.036339309291151,2.0,298.15,298.15
540.0,4.036323454123841,2.0,298.15,298.15
541.0,4.036307555488132,2.0,298.15,298.15
542.0,4.036291612499643,2.0,298.15,298.15
543.0,4.036275624278754,2.0,298.15,298.15
544.0,4.0362595899506,2.0,298.15,298.15
545.0,4.036243508645045,2.0,298.15,298.15
546.0,4.036227379496666,2.0,298.15,298.15
547.0,4.036211201644816,2.0,298.15,298.15
548.0,4.03619497423348,2.0,298.15,298.15
549.0,4.036178696411357,2.0,298.15,298.15
550.0,4.036162367331801,2.0,298.15,298.15
551.0,4.036145986152867,2.0,298.15,298.15
552.0,4.0361295520372185,2.0,298.15,298.15
553.0,4.0361130641521825,2.0,298.15,298.15
554.0,4.0360965216697,2.0,298.15,298.15
555.0,4.036079923766303,2.0,298.15,298.15
556.0,4.036063269623169,2.0,298.15,298.15
557.0,4.036046558426004,2.0,298.15,298.15
558.0,4.036029789365108,2.0,298.15,298.15
559.0,4.036012961635361,2.0,298.15,298.15
560.0,4.035996074436195,2.0,298.15,298.15
561.0,4.035979126971529,2.0,298.15,298.15
562.0,4.035962118449833,2.0,298.15,298.15
563.0,4.0359450480841215,2.0,298.15,298.15
564.0,4.0359279150918335,2.0,298.15,298.15
565.0,4.035910718694964,2.0,298.15,298.15
566.0,4.035893458119949,2.0,298.15,298.15
567.0,4.03587613259767,2.0,298.15,298.15
568.0,4.035858741363507,2.0,298.15,298.15
